"Ref","Key","Tax","Analytics","TaxRate","Amount","IncludeToTotalAmount","ManualAmount"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","305,08","True","305,08"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","3cddf099-4bbf-4c9c-807a-bb2388f83e42","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","106,78","True","106,78"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","b5b69355-5373-4cd3-9ed7-d08af7501bc7","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","18","True","18"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","2e0968f4-d293-4faa-abe0-d25c849e9c32","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","108","True","108"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","2659612d-158f-49a2-bbf4-46c70f05eb9d","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","610,16","True","610,16"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","488,14","True","488,14"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","647c0486-7e3c-49c1-aca2-7ffcc3246b18","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","587,29","True","587,29"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","4a003d08-12af-4c34-98d5-5cdeb84616de","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","634,58","True","634,58"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","1b08fb3c-845d-4912-9cc0-e07de99cb5c7","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","30,51","True","30,51"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204b4","323ed282-6c37-4443-b3b5-6abd5531e1b7","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","793,22","True","793,22"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204b4","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","305,08","True","305,08"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204b4","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","610,17","True","610,17"
