"Ref","Key","Cancel","ItemKey","Store","NetAmount","OffersAmount","Price","PriceType","Quantity","TaxAmount","TotalAmount","Unit","DeliveryDate","ProcurementMethod","Detail","ProfitLossCenter","RevenueType","DontCalculateRow","QuantityInBaseUnit","CancelReason"
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","1 694,9","0","338,98","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","5","305,08","1 999,98","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Purchase","","","","False","5",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","3cddf099-4bbf-4c9c-807a-bb2388f83e42","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","593,22","0","296,61","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","2","106,78","700","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Purchase","","","","False","2",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","b5b69355-5373-4cd3-9ed7-d08af7501bc7","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","100","0","100","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","1","18","118","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","","","","","False","1",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","2e0968f4-d293-4faa-abe0-d25c849e9c32","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","600","0","120","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","5","108","708","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Stock","","","","False","5",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a1","2659612d-158f-49a2-bbf4-46c70f05eb9d","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","3 389,8","0","338,98","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","10","610,16","3 999,96","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Stock","","","","False","10",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","2 711,86","0","400","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","8","488,14","3 200","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Purchase","","","","False","8",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","647c0486-7e3c-49c1-aca2-7ffcc3246b18","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","3 262,71","0","350","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","11","587,29","3 850","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Purchase","","","","False","11",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","4a003d08-12af-4c34-98d5-5cdeb84616de","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","3 525,42","0","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","8","634,58","4 160","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Purchase","","","","False","8",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204a4","1b08fb3c-845d-4912-9cc0-e07de99cb5c7","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","169,49","0","100","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","2","30,51","200","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","","","","","False","2",""
"e1cib/data/Document.SalesOrder?ref=b762b13668d0905011eb9135c52204b4","323ed282-6c37-4443-b3b5-6abd5531e1b7","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","4 406,78","0","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","10","793,22","5 200","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","31.03.2021 00:00:00","Enum.ProcurementMethods.Purchase","","","","False","10",""
