
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:1408         127.0.0.1:54857        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59207        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59210        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59214        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59216        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59230        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59233        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59237        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59239        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59322        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59325        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59329        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59331        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59338        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59341        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59345        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59347        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59358        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59361        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59365        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:59367        ESTABLISHED     2684
  TCP    127.0.0.1:53376        127.0.0.1:53377        ESTABLISHED     10576
  TCP    127.0.0.1:53377        127.0.0.1:53376        ESTABLISHED     10576
  TCP    127.0.0.1:53378        127.0.0.1:53379        ESTABLISHED     9760
  TCP    127.0.0.1:53379        127.0.0.1:53378        ESTABLISHED     9760
  TCP    127.0.0.1:53380        127.0.0.1:53381        ESTABLISHED     14592
  TCP    127.0.0.1:53381        127.0.0.1:53380        ESTABLISHED     14592
  TCP    127.0.0.1:53384        127.0.0.1:53385        ESTABLISHED     16544
  TCP    127.0.0.1:53385        127.0.0.1:53384        ESTABLISHED     16544
  TCP    127.0.0.1:53393        127.0.0.1:53394        ESTABLISHED     17276
  TCP    127.0.0.1:53394        127.0.0.1:53393        ESTABLISHED     17276
  TCP    127.0.0.1:53408        127.0.0.1:53409        ESTABLISHED     13220
  TCP    127.0.0.1:53409        127.0.0.1:53408        ESTABLISHED     13220
  TCP    127.0.0.1:53702        127.0.0.1:53703        ESTABLISHED     6224
  TCP    127.0.0.1:53703        127.0.0.1:53702        ESTABLISHED     6224
  TCP    127.0.0.1:53919        127.0.0.1:53920        ESTABLISHED     3108
  TCP    127.0.0.1:53920        127.0.0.1:53919        ESTABLISHED     3108
