"Ref","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","Key","MovementType","Amount"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156496","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","1eca05d4-eab6-46bd-8cd6-d980a93c0bd2","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","9 360"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156496","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","1eca05d4-eab6-46bd-8cd6-d980a93c0bd2","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","9 360"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156496","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","1eca05d4-eab6-46bd-8cd6-d980a93c0bd2","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","1 602,43"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156497","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","7f987739-8a65-4784-bdf6-8b4913483140","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","520"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156497","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","7f987739-8a65-4784-bdf6-8b4913483140","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","520"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156497","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","7f987739-8a65-4784-bdf6-8b4913483140","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","89,02"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156498","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","5974541f-26fe-478d-addc-63319eae55ab","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","1 040"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156498","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","5974541f-26fe-478d-addc-63319eae55ab","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 040"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156498","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","5974541f-26fe-478d-addc-63319eae55ab","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","178,05"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156499","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","f480afa6-a45a-44b4-b11c-547b15098467","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","520"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156499","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","f480afa6-a45a-44b4-b11c-547b15098467","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","520"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eba28977156499","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","f480afa6-a45a-44b4-b11c-547b15098467","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","89,02"
