"Purchase return 231 dated 14.03.2021 18:53:34","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","",""
"Register  ""R1002 Purchase returns""","","","","","","","","","","","","",""
"","Period","Resources","","","Dimensions","","","","","","","","Attributes"
"","","Quantity","Amount","Net amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key","Return reason","Deferred calculation"
"","14.03.2021 18:53:34","1","30,82","26,11","Main Company","Front office","Reporting currency","USD","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","","No"
"","14.03.2021 18:53:34","1","180","152,54","Main Company","Front office","Local currency","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","","No"
"","14.03.2021 18:53:34","1","180","152,54","Main Company","Front office","TRY","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","","No"
"","14.03.2021 18:53:34","1","180","152,54","Main Company","Front office","en description is empty","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","","No"
"","14.03.2021 18:53:34","2","46,22","39,17","Main Company","Front office","Reporting currency","USD","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","","No"
"","14.03.2021 18:53:34","2","270","228,81","Main Company","Front office","Local currency","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","","No"
"","14.03.2021 18:53:34","2","270","228,81","Main Company","Front office","TRY","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","","No"
"","14.03.2021 18:53:34","2","270","228,81","Main Company","Front office","en description is empty","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","","No"
"","14.03.2021 18:53:34","5","77,04","65,29","Main Company","Front office","Reporting currency","USD","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","not available","No"
"","14.03.2021 18:53:34","5","450","381,36","Main Company","Front office","Local currency","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","not available","No"
"","14.03.2021 18:53:34","5","450","381,36","Main Company","Front office","TRY","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","not available","No"
"","14.03.2021 18:53:34","5","450","381,36","Main Company","Front office","en description is empty","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","not available","No"
