"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5a9e","d5903951-a519-42f7-afd3-10a1c8fd0c71","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","900"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5a9e","d5903951-a519-42f7-afd3-10a1c8fd0c71","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","154,08"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5a9e","2b5f3ad8-3c64-4856-aea3-025bec231b53","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","450"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5a9e","2b5f3ad8-3c64-4856-aea3-025bec231b53","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","77,04"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5a9f","b6edeb8a-5828-4325-b2b6-8b30e51f6ba8","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 532,38"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5a9f","b6edeb8a-5828-4325-b2b6-8b30e51f6ba8","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","450"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5aa0","c3085382-f9b8-4b37-aea7-dc8680f28a2c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 000"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5aa0","c3085382-f9b8-4b37-aea7-dc8680f28a2c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","171,2"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5aa0","c3085382-f9b8-4b37-aea7-dc8680f28a2c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9","0,1111","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 620"
"e1cib/data/Document.CashReceipt?ref=b76bafe8d8921be311ebc51705bb5aa0","c3085382-f9b8-4b37-aea7-dc8680f28a2c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","198"
