"Item","Item key","Item serial/lot number","Barcode"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","M/White TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Dress TR","L/Green TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
"Trousers TR","36/Yellow TR","*","*"
