"Purchase return 231 dated 14.03.2021 18:53:34","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","",""
"Register  ""R1005 Special offers of purchases""","","","","","","","","","","",""
"","Period","Resources","Dimensions","","","","","","","","Attributes"
"","","Offers amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key","Special offer","Deferred calculation"
"","14.03.2021 18:53:34","3,42","Main Company","Front office","Reporting currency","USD","Purchase return 231 dated 14.03.2021 18:53:34","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
"","14.03.2021 18:53:34","5,14","Main Company","Front office","Reporting currency","USD","Purchase return 231 dated 14.03.2021 18:53:34","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","14.03.2021 18:53:34","8,56","Main Company","Front office","Reporting currency","USD","Purchase return 231 dated 14.03.2021 18:53:34","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
"","14.03.2021 18:53:34","20","Main Company","Front office","Local currency","TRY","Purchase return 231 dated 14.03.2021 18:53:34","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
"","14.03.2021 18:53:34","20","Main Company","Front office","TRY","TRY","Purchase return 231 dated 14.03.2021 18:53:34","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
"","14.03.2021 18:53:34","20","Main Company","Front office","en description is empty","TRY","Purchase return 231 dated 14.03.2021 18:53:34","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
"","14.03.2021 18:53:34","30","Main Company","Front office","Local currency","TRY","Purchase return 231 dated 14.03.2021 18:53:34","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","14.03.2021 18:53:34","30","Main Company","Front office","TRY","TRY","Purchase return 231 dated 14.03.2021 18:53:34","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","14.03.2021 18:53:34","30","Main Company","Front office","en description is empty","TRY","Purchase return 231 dated 14.03.2021 18:53:34","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","14.03.2021 18:53:34","50","Main Company","Front office","Local currency","TRY","Purchase return 231 dated 14.03.2021 18:53:34","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
"","14.03.2021 18:53:34","50","Main Company","Front office","TRY","TRY","Purchase return 231 dated 14.03.2021 18:53:34","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
"","14.03.2021 18:53:34","50","Main Company","Front office","en description is empty","TRY","Purchase return 231 dated 14.03.2021 18:53:34","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
