"Ref","DeletionMark","Item","Unit","Specification","AffectPricingMD5","UniqueMD5","ItemKeyID"
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","","B4 BC 90 82 48 50 0F 6D CD B4 80 1D 8E 3D 40 B9","B4 BC 90 82 48 50 0F 6D CD B4 80 1D 8E 3D 40 B9",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","","95 CA D3 29 86 88 5B 76 3D C5 41 5B 55 BC F4 EA","95 CA D3 29 86 88 5B 76 3D C5 41 5B 55 BC F4 EA",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","","3A 88 50 6B DA 09 8F 76 25 AB 55 ED 88 26 6B 2A","3A 88 50 6B DA 09 8F 76 25 AB 55 ED 88 26 6B 2A",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fe","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","","3B 2E 7E 34 17 31 B2 6A 9F B5 7A 4C AC 24 ED 0D","3B 2E 7E 34 17 31 B2 6A 9F B5 7A 4C AC 24 ED 0D",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5ff","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","","1D 3B 6D 26 EE A7 E7 54 98 71 32 E4 01 13 C0 05","1D 3B 6D 26 EE A7 E7 54 98 71 32 E4 01 13 C0 05",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60e","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60c","","2E AC 01 63 C4 77 BF 5D AB FB AE 8C 9E 6A 5A 51",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11992f9b8d3","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","","6B F4 1E 40 EB B2 19 34 00 4B 1B 31 5C EA 27 95","6B F4 1E 40 EB B2 19 34 00 4B 1B 31 5C EA 27 95",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11df09c894a","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","","","65 B6 6E 03 66 0A 1F CA 61 ED 3A F2 39 25 FE BB","65 B6 6E 03 66 0A 1F CA 61 ED 3A F2 39 25 FE BB",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f4","","","D8 CF 43 85 24 8F 9F 05 96 17 C0 C1 A9 B5 90 94","D8 CF 43 85 24 8F 9F 05 96 17 C0 C1 A9 B5 90 94",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f4","","","72 5A 2A A2 92 50 1D 2B 4F 66 3F FE D8 BA 51 E7","72 5A 2A A2 92 50 1D 2B 4F 66 3F FE D8 BA 51 E7",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c9f09fc9f","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f4","","e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc9e","","E9 67 07 37 D1 1E F0 FA 84 A8 5B 2A 93 1D 75 A0",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f5","","","8F 63 14 2C C6 14 1E E2 7E B5 99 BD A5 65 D6 16","8F 63 14 2C C6 14 1E E2 7E B5 99 BD A5 65 D6 16",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f5","","","B2 A9 E9 6D AB C1 F7 01 38 5C E6 3B 4B 3E 03 36","B2 A9 E9 6D AB C1 F7 01 38 5C E6 3B 4B 3E 03 36",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f6","","","EF 6C 41 2B 0C BD 40 D1 B4 AD AA 64 0C 80 C4 91","F0 0B D7 70 5C A5 17 92 A7 4D C2 38 1D 79 BE 67",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f6","","","CD F2 B1 D7 E8 B6 AC DF 4C E8 F8 EA EC F4 9A 6A","33 03 0E 31 6E 04 86 F6 4B B1 98 F6 9E 04 5D E1",""
"e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c606","False","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f6","","","5C 63 C9 96 13 31 5B BF DB 61 A7 61 22 56 25 12","69 27 D0 3B 1F 85 AD 31 77 0D 8D 03 EA C4 39 0D",""
