"Ref","Key","ItemKey","Price"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb7674324a4a2d","3cd8d023-ad85-4a35-8bff-3847fa92ccd8","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","190"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb7674324a4a2d","e592810d-f3a2-4f12-9353-9916031825cc","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b274f","200"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb7674324a4a2d","c2e62852-cd5e-4d84-b8b4-3ec7ee04d4d9","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2757","210"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb7674324a4a2d","2aa56aee-fac8-408a-8a7a-4b3f979814d8","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","450"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb7674324a4a2d","e3ee9bce-4b58-4474-a061-4d9790f7d016","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b275c","250"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb7674324a4a2d","93bea27c-b3cd-4e2c-8121-0053073c2535","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2759","190"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb767f10805e2d","3cd8d023-ad85-4a35-8bff-3847fa92ccd8","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","250"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb767f10805e2d","e592810d-f3a2-4f12-9353-9916031825cc","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b274f","210"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb767f10805e2d","c2e62852-cd5e-4d84-b8b4-3ec7ee04d4d9","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2757","220"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb767f10805e2d","2aa56aee-fac8-408a-8a7a-4b3f979814d8","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","490"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb767f10805e2d","e3ee9bce-4b58-4474-a061-4d9790f7d016","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b275c","270"
"e1cib/data/Document.PriceList?ref=b762b13668d0905011eb767f10805e2d","93bea27c-b3cd-4e2c-8121-0053073c2535","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2759","220"
