"Ref","DeletionMark","Code","Item","Unit","Specification","AffectPricingMD5","UniqueMD5","ItemKeyID","Description_en","Description_hash","Description_ru","Description_tr","Height","Length","Volume","Weight","Width"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","False","1","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb76684b9f687d","","","4A 53 01 2D 90 DB F5 40 69 39 46 E6 58 4E 97 94","AD 1B 7B B1 90 6B 76 B6 A1 8F 21 1C 57 8A 45 37","","S/Красный","S/Красный","S/Красный","S/Красный","0","0","0","0,21","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b274f","False","2","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb76684b9f687d","","","5C D9 37 CD 2A F3 17 D7 11 01 79 CE 68 BE CD F5","C6 20 E7 A5 67 61 3F 81 84 D4 9C 76 01 CA BA 34","","XS/Черный","XS/Черный","XS/Черный","XS/Черный","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","False","3","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb766bf96b2750","","","","4D CB F1 F2 F1 F2 40 44 01 6B C8 18 1F CA AC 7C","","Товар без характеристик","Товар без характеристик","Товар без характеристик","Товар без характеристик","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2753","False","4","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb766bf96b2752","","","","21 C3 7C 38 06 DA 54 AB 82 79 2E CD 15 D7 63 D8","","Услуга","Услуга","Услуга","Услуга","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2757","False","5","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb766bf96b2754","","e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2755","","81 E7 29 49 BA B7 7B 32 53 59 AE 6D E4 FF BF 92","","Товар со спецификацией/Спецификация 1","/","/","/","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2758","False","6","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb766bf96b2754","","e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2756","","4E 42 4D 38 21 84 60 31 0B C5 32 D5 18 A4 D3 A8","","Товар со спецификацией/Спецификация 2","/","/","/","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2759","False","7","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb766bf96b2754","","","7E A0 FC EF A4 D4 28 D7 2A 2A EE 9F FA 2A EB 92","8D 7F C0 AE D1 66 F2 16 F4 BB AF 5B 9A 57 E9 29","","XS/Красный","XS/Красный","XS/Красный","XS/Красный","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b275c","False","8","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb766bf96b275a","","e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b275b","","A5 A0 CD 03 7C 76 D2 1B EB 02 21 93 57 B8 D3 8A","","Набор/Набор","/","/","/","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb7674324a4a4b","False","9","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb766bf96b275a","","e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb7674324a4a4a","","36 8A 35 96 B8 A1 D8 8D 6B 17 C6 B6 16 3F 32 56","","Набор/Товар с характеристиками","/Товар с характеристиками","/Товар с характеристиками","/Товар с характеристиками","0","0","0","0","0"
"e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb7674324a4a4c","False","10","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb76684b9f687d","","","65 01 C7 CA D7 BD 5C D7 C8 92 57 FB 06 55 F2 93","28 50 9A 15 9D 44 CA 86 DE 13 10 ED A9 20 59 C6","","M/Черный","M/Черный","M/Черный","M/Черный","0","0","0","0","0"
