"Opening entry 3 dated 07.09.2020 21:26:50","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","",""
"Register  ""R2020 Advances from customer""","","","","","","","","","","","",""
"","Record type","Period","Resources","Dimensions","","","","","","","Attributes",""
"","","","Amount","Company","Branch","Multi currency movement type","Currency","Legal name","Partner","Basis","Deferred calculation","Customers advances closing"
"","Receipt","07.09.2020 21:26:50","17","Main Company","Front office","Reporting currency","USD","Company Kalipso","Kalipso","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","34","Main Company","Front office","Reporting currency","USD","DFC","DFC","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","100","Main Company","Front office","Local currency","TRY","Company Kalipso","Kalipso","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","100","Main Company","Front office","en description is empty","TRY","Company Kalipso","Kalipso","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","200","Main Company","Front office","Local currency","TRY","DFC","DFC","Opening entry 3 dated 07.09.2020 21:26:50","No",""
"","Receipt","07.09.2020 21:26:50","200","Main Company","Front office","en description is empty","TRY","DFC","DFC","Opening entry 3 dated 07.09.2020 21:26:50","No",""
