"Ref","Key","RowID","Quantity","Basis","CurrentStep","NextStep","RowRef","BasisKey"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","00aed969-8c2a-4dbd-9437-4f908eaf64e8","33fb4649-b56d-4dce-aa17-13a4a2793214","10","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","e1cib/data/Catalog.MovementRules?refName=IT","","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a67","43317f4a-379d-41aa-93ff-8871441ed3d0"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","f88da3a7-790b-46bc-b60a-3715b5f531a9","c0c98298-ec84-4861-ad3b-f7ab450c00df","15","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","e1cib/data/Catalog.MovementRules?refName=IT","","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a68","65e25a04-72f4-4237-94c2-5ad3bff7a597"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","260f04d6-3f70-49f0-989c-ffc38b0b087d","d4c73c14-9e0c-4485-a316-5d5a44fe917c","8","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","e1cib/data/Catalog.MovementRules?refName=IT","","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a69","6f8aebc0-f5e3-4c90-a92f-a45be8340184"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","0ffef699-0663-4adc-b524-d5a4d80e39f1","22ab7e15-e9a2-4f5c-8873-7bfb8845d5d1","6","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","e1cib/data/Catalog.MovementRules?refName=IT","","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a6b","22ab7e15-e9a2-4f5c-8873-7bfb8845d5d1"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","ea27c539-0c74-4bff-9ece-55188a190461","8adb022e-c6a6-4afd-bb1f-8420be66175e","9","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","e1cib/data/Catalog.MovementRules?refName=IT","","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a6c","8adb022e-c6a6-4afd-bb1f-8420be66175e"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","797d9889-af15-4e2e-9b98-bc9feaa278d8","fdce4645-fba8-41b0-afaa-c50bf03bfe59","144","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","e1cib/data/Catalog.MovementRules?refName=IT","","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a6d","fdce4645-fba8-41b0-afaa-c50bf03bfe59"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","d0b79dd1-fc89-4e2f-8151-c11d00b330ec","d0b79dd1-fc89-4e2f-8151-c11d00b330ec","10","","","e1cib/data/Catalog.MovementRules?refName=SC","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a71",""
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","ea27c539-0c74-4bff-9ece-55188a190461","8adb022e-c6a6-4afd-bb1f-8420be66175e","9","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","","e1cib/data/Catalog.MovementRules?refName=SC","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a6c","8adb022e-c6a6-4afd-bb1f-8420be66175e"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","0ffef699-0663-4adc-b524-d5a4d80e39f1","22ab7e15-e9a2-4f5c-8873-7bfb8845d5d1","6","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","","e1cib/data/Catalog.MovementRules?refName=SC","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a6b","22ab7e15-e9a2-4f5c-8873-7bfb8845d5d1"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","260f04d6-3f70-49f0-989c-ffc38b0b087d","d4c73c14-9e0c-4485-a316-5d5a44fe917c","8","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","","e1cib/data/Catalog.MovementRules?refName=SC","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a69","6f8aebc0-f5e3-4c90-a92f-a45be8340184"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","f88da3a7-790b-46bc-b60a-3715b5f531a9","c0c98298-ec84-4861-ad3b-f7ab450c00df","15","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","","e1cib/data/Catalog.MovementRules?refName=SC","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a68","65e25a04-72f4-4237-94c2-5ad3bff7a597"
"e1cib/data/Document.InventoryTransfer?ref=b76fba77ffd4077e11ec2517dfd78a6f","797d9889-af15-4e2e-9b98-bc9feaa278d8","fdce4645-fba8-41b0-afaa-c50bf03bfe59","144","e1cib/data/Document.InventoryTransferOrder?ref=b76fba77ffd4077e11ec2517dfd78a6e","","e1cib/data/Catalog.MovementRules?refName=SC","e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec2517dfd78a6d","fdce4645-fba8-41b0-afaa-c50bf03bfe59"
