"Ref","Key","ItemKey","Store","PurchaseOrder","Unit","Quantity","Price","PriceType","TaxAmount","TotalAmount","NetAmount","OffersAmount","ProfitLossCenter","ExpenseType","DeliveryDate","SalesOrder","Detail","AdditionalAnalytic","DontCalculateRow","QuantityInBaseUnit","UseGoodsReceipt","InternalSupplyRequest"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede0","9f511478-bf4c-4e6b-9d5d-16d016bdcc4e","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","70","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","10,68","70","59,32","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","01.01.0001 00:00:00","","","","False","1","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede0","c15c1eee-d29a-4821-bd09-464fe62bbaa8","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","2","50","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","15,25","100","84,75","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","01.01.0001 00:00:00","","","","False","2","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede5","4c3a88d9-a855-4efd-89f7-acbc572b0b50","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","170","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","0","170","170","0","","","01.01.0001 00:00:00","","","","False","1","False",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede8","7af7a593-ae07-46af-899c-9cf2eded7237","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","10","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","1,53","10","8,47","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","01.01.0001 00:00:00","","","","False","1","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede8","dd3b3905-bb75-4595-824f-94fe32c6f174","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","2","50","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","15,25","100","84,75","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","01.01.0001 00:00:00","","","","False","2","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bedeb","75b8829c-908c-4e6d-b646-89a7eb0fbd1f","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","90","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","13,73","90","76,27","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","01.01.0001 00:00:00","","","","False","1","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bedeb","e489a96d-2dd6-41cb-b4ea-ea2e5dca9ee5","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","2","50","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","15,25","100","84,75","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","01.01.0001 00:00:00","","","","False","2","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eede","f2a4c5df-ad06-4ca0-b1bd-44345a60d112","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","2","100","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","30,51","200","169,49","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","01.01.0001 00:00:00","","","","False","2","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee2","63fb829f-4596-4698-a17f-3300ef47c5dd","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","100","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","15,25","100","84,75","0","","","01.01.0001 00:00:00","","","","False","1","False",""
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee4","07965481-4978-4c3e-8081-840d41159dd7","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","190","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","28,98","190","161,02","0","","","01.01.0001 00:00:00","","","","False","1","False",""
