"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb481153093f5","451e815b-2afa-4c84-9c5c-aac3e3c1a521","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","3 900"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb481153093f5","451e815b-2afa-4c84-9c5c-aac3e3c1a521","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","667,68"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb481153093f5","21730077-9823-48f1-ad45-6eb2f785e215","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","1 200"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb481153093f5","21730077-9823-48f1-ad45-6eb2f785e215","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 200"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb481153093f5","21730077-9823-48f1-ad45-6eb2f785e215","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","205,44"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb481153093f5","eefaecf1-aca2-4fad-b59b-0df47113c422","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","810"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb481153093f5","eefaecf1-aca2-4fad-b59b-0df47113c422","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","138,67"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb48115309403","8ea45f7b-6255-4fb4-8c44-ad502f098b23","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","200"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb48115309403","8ea45f7b-6255-4fb4-8c44-ad502f098b23","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","34,24"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb48115309403","3cf5b5fd-ad1f-495f-a70e-1078380837f5","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","800"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb48115309403","3cf5b5fd-ad1f-495f-a70e-1078380837f5","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","800"
"e1cib/data/Document.CashReceipt?ref=b76790ebcbe4b2b311ebb48115309403","3cf5b5fd-ad1f-495f-a70e-1078380837f5","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","136,96"
