"Sales return order 102 dated 12.03.2021 09:19:54","","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","","",""
"Register  ""R2010 Sales orders""","","","","","","","","","","","","","",""
"","Period","Resources","","","","Dimensions","","","","","","","","Attributes"
"","","Quantity","Amount","Net amount","Offers amount","Company","Branch","Multi currency movement type","Currency","Order","Item key","Row key","Procurement method","Deferred calculation"
"","12.03.2021 09:19:54","1","16,26","13,78","0,86","Main Company","Logistics department","Reporting currency","USD","Sales return order 102 dated 12.03.2021 09:19:54","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","","No"
"","12.03.2021 09:19:54","1","84,57","71,67","4,45","Main Company","Logistics department","Reporting currency","USD","Sales return order 102 dated 12.03.2021 09:19:54","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","","No"
"","12.03.2021 09:19:54","1","95","80,51","5","Main Company","Logistics department","Local currency","TRY","Sales return order 102 dated 12.03.2021 09:19:54","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","","No"
"","12.03.2021 09:19:54","1","95","80,51","5","Main Company","Logistics department","TRY","TRY","Sales return order 102 dated 12.03.2021 09:19:54","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","","No"
"","12.03.2021 09:19:54","1","95","80,51","5","Main Company","Logistics department","en description is empty","TRY","Sales return order 102 dated 12.03.2021 09:19:54","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","","No"
"","12.03.2021 09:19:54","1","494","418,64","26","Main Company","Logistics department","Local currency","TRY","Sales return order 102 dated 12.03.2021 09:19:54","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","","No"
"","12.03.2021 09:19:54","1","494","418,64","26","Main Company","Logistics department","TRY","TRY","Sales return order 102 dated 12.03.2021 09:19:54","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","","No"
"","12.03.2021 09:19:54","1","494","418,64","26","Main Company","Logistics department","en description is empty","TRY","Sales return order 102 dated 12.03.2021 09:19:54","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","","No"
"","12.03.2021 09:19:54","10","569,24","482,41","29,96","Main Company","Logistics department","Reporting currency","USD","Sales return order 102 dated 12.03.2021 09:19:54","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","","No"
"","12.03.2021 09:19:54","10","3 325","2 817,8","175","Main Company","Logistics department","Local currency","TRY","Sales return order 102 dated 12.03.2021 09:19:54","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","","No"
"","12.03.2021 09:19:54","10","3 325","2 817,8","175","Main Company","Logistics department","TRY","TRY","Sales return order 102 dated 12.03.2021 09:19:54","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","","No"
"","12.03.2021 09:19:54","10","3 325","2 817,8","175","Main Company","Logistics department","en description is empty","TRY","Sales return order 102 dated 12.03.2021 09:19:54","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","","No"
"","12.03.2021 09:19:54","24","2 732,35","2 315,55","143,81","Main Company","Logistics department","Reporting currency","USD","Sales return order 102 dated 12.03.2021 09:19:54","37/18SD","f06154aa-5906-4824-9983-19e2bc9ccb96","","No"
"","12.03.2021 09:19:54","24","15 960","13 525,42","840","Main Company","Logistics department","Local currency","TRY","Sales return order 102 dated 12.03.2021 09:19:54","37/18SD","f06154aa-5906-4824-9983-19e2bc9ccb96","","No"
"","12.03.2021 09:19:54","24","15 960","13 525,42","840","Main Company","Logistics department","TRY","TRY","Sales return order 102 dated 12.03.2021 09:19:54","37/18SD","f06154aa-5906-4824-9983-19e2bc9ccb96","","No"
"","12.03.2021 09:19:54","24","15 960","13 525,42","840","Main Company","Logistics department","en description is empty","TRY","Sales return order 102 dated 12.03.2021 09:19:54","37/18SD","f06154aa-5906-4824-9983-19e2bc9ccb96","","No"
