Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                      9652 RDP-Tcp#73                 4  1В 614В 660 K
1cv8.exe                     15356 RDP-Tcp#73                 4  1В 419В 988 K
1cv8.exe                     17080 RDP-Tcp#73                 4  1В 679В 136 K
1cv8.exe                     17708 RDP-Tcp#73                 4  1В 637В 380 K
1cv8.exe                     17776 RDP-Tcp#73                 4  1В 361В 452 K
1cv8c.exe                     9204 RDP-Tcp#73                 4    836В 272 K
1cv8c.exe                    10536 RDP-Tcp#82                 6  1В 060В 436 K
1cv8c.exe                    11592 RDP-Tcp#73                 4    492В 000 K
1cv8c.exe                    12680 RDP-Tcp#73                 4    620В 572 K
1cv8c.exe                    14844 RDP-Tcp#73                 4    707В 956 K
1cv8c.exe                    18384 RDP-Tcp#73                 4    906В 020 K
cmd.exe                      18392 RDP-Tcp#73                 4      3В 396 K
Code.exe                      1392 RDP-Tcp#128                2     69В 900 K
Code.exe                      4956 RDP-Tcp#128                2     26В 464 K
Code.exe                      5980 RDP-Tcp#82                 6     26В 704 K
Code.exe                      8204 RDP-Tcp#82                 6     43В 588 K
Code.exe                      8720 RDP-Tcp#82                 6     72В 792 K
Code.exe                      9776 RDP-Tcp#82                 6     90В 060 K
Code.exe                     11980 RDP-Tcp#128                2     66В 360 K
Code.exe                     12020 RDP-Tcp#128                2     14В 096 K
Code.exe                     12100 RDP-Tcp#82                 6     14В 016 K
Code.exe                     12948 RDP-Tcp#128                2     54В 180 K
Code.exe                     12960 RDP-Tcp#82                 6     70В 996 K
Code.exe                     13088 RDP-Tcp#128                2     62В 828 K
Code.exe                     13572 RDP-Tcp#82                 6     30В 964 K
Code.exe                     13876 RDP-Tcp#128                2     29В 916 K
Code.exe                     14660 RDP-Tcp#82                 6    211В 652 K
Code.exe                     15576 RDP-Tcp#128                2    146В 332 K
Code.exe                     16200 RDP-Tcp#82                 6    177В 288 K
Code.exe                     16404 RDP-Tcp#82                 6     65В 828 K
Code.exe                     16720 RDP-Tcp#82                 6     84В 164 K
CodeHelper.exe                5404 RDP-Tcp#82                 6     14В 672 K
CodeHelper.exe               13988 RDP-Tcp#82                 6     14В 848 K
conhost.exe                    448 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   2892 RDP-Tcp#82                 6      8В 164 K
conhost.exe                   4532 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   6700                            3      9В 340 K
conhost.exe                   7272 RDP-Tcp#73                 4      9В 596 K
conhost.exe                   7632 RDP-Tcp#73                 4      7В 092 K
conhost.exe                  10160                            5      9В 356 K
conhost.exe                  12220 RDP-Tcp#73                 4      6В 788 K
conhost.exe                  13012 RDP-Tcp#82                 6      8В 164 K
conhost.exe                  13596 RDP-Tcp#73                 4      8В 460 K
conhost.exe                  15404 RDP-Tcp#73                 4      7В 096 K
conhost.exe                  15964 RDP-Tcp#73                 4      6В 716 K
conhost.exe                  17336 RDP-Tcp#73                 4     11В 076 K
conhost.exe                  17436 RDP-Tcp#73                 4      7В 104 K
csrss.exe                      512 Services                   0      4В 268 K
csrss.exe                      604 Console                    1      4В 064 K
csrss.exe                     3816 RDP-Tcp#128                2     13В 568 K
csrss.exe                     5020                            3     12В 212 K
csrss.exe                     6972 RDP-Tcp#73                 4     13В 872 K
csrss.exe                     7164                            5     10В 996 K
csrss.exe                    14072 RDP-Tcp#82                 6     14В 616 K
dbgs.exe                      2684 RDP-Tcp#73                 4    499В 020 K
dwm.exe                        532                            3     43В 700 K
dwm.exe                       1016 Console                    1     29В 724 K
dwm.exe                       4028 RDP-Tcp#128                2     77В 704 K
dwm.exe                       7140 RDP-Tcp#73                 4     79В 216 K
dwm.exe                       8240                            5     42В 920 K
dwm.exe                      16412 RDP-Tcp#82                 6    108В 768 K
explorer.exe                  4664 RDP-Tcp#128                2     82В 852 K
explorer.exe                  6072                            3     70В 464 K
explorer.exe                  7444 RDP-Tcp#73                 4     93В 716 K
explorer.exe                  9196                            5     71В 000 K
explorer.exe                 11024 RDP-Tcp#82                 6    108В 968 K
firefox.exe                   3108 RDP-Tcp#128                2    295В 820 K
firefox.exe                   4084 RDP-Tcp#128                2    216В 668 K
firefox.exe                   4144 RDP-Tcp#82                 6    152В 232 K
firefox.exe                   6084 RDP-Tcp#128                2     31В 896 K
firefox.exe                   6224 RDP-Tcp#82                 6     32В 028 K
firefox.exe                   7604 RDP-Tcp#128                2     69В 164 K
firefox.exe                   8276 RDP-Tcp#128                2     74В 512 K
firefox.exe                   9760 RDP-Tcp#82                 6     16В 032 K
firefox.exe                  10576 RDP-Tcp#82                 6    371В 340 K
firefox.exe                  10820 RDP-Tcp#128                2     95В 816 K
firefox.exe                  13220 RDP-Tcp#82                 6    479В 284 K
firefox.exe                  13440 RDP-Tcp#82                 6     22В 284 K
firefox.exe                  14592 RDP-Tcp#82                 6    200В 248 K
firefox.exe                  14608 RDP-Tcp#128                2    117В 056 K
firefox.exe                  16544 RDP-Tcp#82                 6     87В 708 K
firefox.exe                  17276 RDP-Tcp#82                 6     54В 192 K
firefox.exe                  17916 RDP-Tcp#128                2     61В 132 K
fontdrvhost.exe               6716                            5      3В 228 K
fontdrvhost.exe              12024 RDP-Tcp#73                 4      6В 324 K
fontdrvhost.exe              16188                            3      3В 232 K
fontdrvhost.exe              17340 RDP-Tcp#82                 6      3В 460 K
GitHubDesktop.exe             4636 RDP-Tcp#82                 6    130В 040 K
GitHubDesktop.exe            12312 RDP-Tcp#82                 6     68В 244 K
GitHubDesktop.exe            12972 RDP-Tcp#82                 6     25В 576 K
GitHubDesktop.exe            16944 RDP-Tcp#82                 6     58В 608 K
IpOverUsbSvc.exe              2408 Services                   0     12В 552 K
java.exe                       692                            5    536В 788 K
java.exe                      6692                            3     38В 824 K
java.exe                      7280 RDP-Tcp#73                 4     39В 168 K
java.exe                      7532                            3    600В 904 K
java.exe                      9996 RDP-Tcp#73                 4    638В 168 K
java.exe                     10152                            5     38В 496 K
java.exe                     17472 RDP-Tcp#73                 4  1В 045В 504 K
LogonUI.exe                   1008 Console                    1     42В 272 K
lsass.exe                      744 Services                   0     24В 756 K
msdtc.exe                     8180 Services                   0      9В 380 K
MsMpEng.exe                   2356 Services                   0    324В 072 K
NisSrv.exe                    3464 Services                   0     11В 476 K
notepad.exe                  11092 RDP-Tcp#82                 6     17В 780 K
OfficeClickToRun.exe          2184 Services                   0     46В 712 K
powershell.exe                5852 RDP-Tcp#73                 4    217В 504 K
powershell.exe                8816 RDP-Tcp#73                 4    174В 500 K
powershell.exe                9280 RDP-Tcp#73                 4    117В 628 K
powershell.exe               13908 RDP-Tcp#73                 4    194В 080 K
powershell.exe               15060 RDP-Tcp#73                 4    684В 056 K
powershell.exe               15464 RDP-Tcp#73                 4    195В 444 K
RDCMan.exe                    3752 RDP-Tcp#128                2    148В 240 K
rdpclip.exe                   4132 RDP-Tcp#128                2     10В 604 K
rdpclip.exe                   5480                            3      9В 736 K
rdpclip.exe                   6608 RDP-Tcp#73                 4     10В 624 K
rdpclip.exe                   8600                            5      9В 752 K
rdpclip.exe                  14616 RDP-Tcp#82                 6     10В 768 K
RuntimeBroker.exe             3796 RDP-Tcp#128                2     21В 744 K
RuntimeBroker.exe             5728                            3     22В 004 K
RuntimeBroker.exe             6588 RDP-Tcp#73                 4     46В 096 K
RuntimeBroker.exe             8872                            5     25В 128 K
RuntimeBroker.exe            13300 RDP-Tcp#82                 6     32В 508 K
SearchUI.exe                  4992 RDP-Tcp#128                2     37В 100 K
SearchUI.exe                  5932                            3     35В 152 K
SearchUI.exe                  7824 RDP-Tcp#73                 4     35В 232 K
SearchUI.exe                  9156                            5     35В 136 K
SearchUI.exe                 13136 RDP-Tcp#82                 6     53В 284 K
services.exe                   736 Services                   0      9В 484 K
ShellExperienceHost.exe       4900 RDP-Tcp#128                2     35В 368 K
ShellExperienceHost.exe       5804                            3     35В 096 K
ShellExperienceHost.exe       7700 RDP-Tcp#73                 4     35В 204 K
ShellExperienceHost.exe       9092                            5     35В 516 K
ShellExperienceHost.exe      14828 RDP-Tcp#82                 6     59В 836 K
sihost.exe                    4176 RDP-Tcp#128                2     18В 588 K
sihost.exe                    5512                            3     19В 104 K
sihost.exe                    6640 RDP-Tcp#73                 4     18В 992 K
sihost.exe                    8624                            5     18В 920 K
sihost.exe                   15648 RDP-Tcp#82                 6     19В 512 K
smss.exe                       404 Services                   0      1В 348 K
spoolsv.exe                   1684 Services                   0     21В 200 K
sppsvc.exe                    2352 Services                   0     18В 556 K
svchost.exe                     96 Services                   0    243В 748 K
svchost.exe                    472 Services                   0     27В 844 K
svchost.exe                    800 Services                   0     23В 508 K
svchost.exe                    848 Services                   0     23В 356 K
svchost.exe                    908 Services                   0     16В 588 K
svchost.exe                   1036 Services                   0     21В 576 K
svchost.exe                   1184 Services                   0     29В 812 K
svchost.exe                   1212 Services                   0     63В 176 K
svchost.exe                   1348 Services                   0     24В 092 K
svchost.exe                   1356 Services                   0      7В 492 K
svchost.exe                   1708 Services                   0     10В 264 K
svchost.exe                   2252 Services                   0      7В 980 K
svchost.exe                   2260 Services                   0     15В 812 K
svchost.exe                   2268 Services                   0     23В 120 K
svchost.exe                   2340 Services                   0     24В 148 K
svchost.exe                   3020 Services                   0      6В 636 K
svchost.exe                   4272 RDP-Tcp#128                2     19В 588 K
svchost.exe                   5524                            3     19В 568 K
svchost.exe                   6660 RDP-Tcp#73                 4     19В 592 K
svchost.exe                   8420 Services                   0      7В 168 K
svchost.exe                   8632                            5     19В 716 K
svchost.exe                  16336 RDP-Tcp#82                 6     19В 884 K
System                           4 Services                   0        140 K
System Idle Process              0 Services                   0          4 K
taskhostw.exe                 4312 RDP-Tcp#128                2     15В 360 K
taskhostw.exe                 5588                            3     13В 804 K
taskhostw.exe                 6368 RDP-Tcp#73                 4     15В 676 K
taskhostw.exe                 8680                            5     13В 612 K
taskhostw.exe                15904 RDP-Tcp#82                 6     17В 224 K
tasklist.exe                 11732 RDP-Tcp#73                 4      8В 036 K
Taskmgr.exe                   2296 RDP-Tcp#128                2     40В 960 K
wininit.exe                    596 Services                   0      5В 180 K
winlogon.exe                   668 Console                    1      8В 684 K
winlogon.exe                  3856 RDP-Tcp#128                2      7В 816 K
winlogon.exe                  5008                            3      8В 256 K
winlogon.exe                  5084                            5      8В 224 K
winlogon.exe                  7016 RDP-Tcp#73                 4      8В 316 K
winlogon.exe                 17968 RDP-Tcp#82                 6      8В 388 K
wlms.exe                      2456 Services                   0      3В 172 K
WmiPrvSE.exe                 12620 Services                   0     20В 208 K
