"Ref","DeletionMark","Code","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_SalesInvoice","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_CashExpense","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_CashRevenue","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_IncomingPaymentOrder","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_OutgoingPaymentOrder","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_CashTransferOrder","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_BankReceipt","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_CashPayment","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_BankPayment","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_CashReceipt","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_SalesOrder","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_PurchaseOrder","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_PurchaseInvoice","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_SalesReturnOrder","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_SalesReturn","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_PurchaseReturnOrder","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_PurchaseReturn","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_InvoiceMatch","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_CreditNote","False","0","","","",""
"e1cib/data/Catalog.CurrencyMovementSets?refName=Document_DebitNote","False","0","","","",""
