"Ref","DeletionMark","Code","Description","Agreement","Company","Currency","LegalName","Partner","PriceIncludeTax","Store","Unit","ItemKey","ProfitLossCenter","Basis","RowID","ProcurementMethod","StoreSender","StoreReceiver","TransactionTypeSC","TransactionTypeGR","TransactionType"
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2213","False","1","2ce7a713-e5f5-4b4c-b5b7-0bd4a98dff06","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6870","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb766bf96b276f","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794d","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","","e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2215","2ce7a713-e5f5-4b4c-b5b7-0bd4a98dff06","","","","","Enum.GoodsReceiptTransactionTypes.Purchase",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2214","False","2","16651dd1-4d7d-4d22-bdf4-ee2a2b196cba","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6870","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb766bf96b276f","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794d","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","","e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2215","16651dd1-4d7d-4d22-bdf4-ee2a2b196cba","","","","","Enum.GoodsReceiptTransactionTypes.Purchase",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2216","False","3","c5df0891-705b-49ff-814c-927f268a7f44","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6870","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb766bf96b276f","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794d","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","","e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2217","c5df0891-705b-49ff-814c-927f268a7f44","","","","","Enum.GoodsReceiptTransactionTypes.Purchase",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2218","False","4","41702ee7-a887-48ad-a2ca-5268db5e3055","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6870","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb766bf96b276f","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794d","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b274f","","e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2219","41702ee7-a887-48ad-a2ca-5268db5e3055","","","","","Enum.GoodsReceiptTransactionTypes.Purchase",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce221f","False","5","9fef8bd3-cf94-4d07-997f-b4af0046d72b","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6862","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2757","","e1cib/data/Document.InternalSupplyRequest?ref=b76cbacb2511e57d11ebeab0dfce2221","9fef8bd3-cf94-4d07-997f-b4af0046d72b","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2220","False","6","6b225b90-b3f7-4d28-b6fb-d0a72a55da2e","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6862","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","","e1cib/data/Document.InternalSupplyRequest?ref=b76cbacb2511e57d11ebeab0dfce2221","6b225b90-b3f7-4d28-b6fb-d0a72a55da2e","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2222","False","7","dcdcbe9e-5743-49b6-8ca8-8e95b7ac6b89","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6868","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7674324a4a2c","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794c","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","","e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce2224","dcdcbe9e-5743-49b6-8ca8-8e95b7ac6b89","Enum.ProcurementMethods.Stock","","","Enum.ShipmentConfirmationTransactionTypes.Sales","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2223","False","8","223ddc1a-3180-4190-a0ab-9ac73b34ab8b","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6868","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7674324a4a2c","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794c","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","","e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce2224","223ddc1a-3180-4190-a0ab-9ac73b34ab8b","Enum.ProcurementMethods.Stock","","","Enum.ShipmentConfirmationTransactionTypes.Sales","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce222b","False","9","0e612907-9a9f-40e2-8755-aff44106b5d4","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6867","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7674324a4a2a","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794b","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","","e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222c","0e612907-9a9f-40e2-8755-aff44106b5d4","Enum.ProcurementMethods.Stock","","","Enum.ShipmentConfirmationTransactionTypes.Sales","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce222d","False","10","79bb974c-3791-4e62-9775-3bc7893ad6f4","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6868","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7674324a4a2c","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794c","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","","e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222f","79bb974c-3791-4e62-9775-3bc7893ad6f4","Enum.ProcurementMethods.NoReserve","","","Enum.ShipmentConfirmationTransactionTypes.Sales","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce222e","False","11","6e05e259-c03b-4ef8-9f48-e0a2990a7652","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb76684b9f6868","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7674324a4a2c","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794c","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","","e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222f","6e05e259-c03b-4ef8-9f48-e0a2990a7652","Enum.ProcurementMethods.Stock","","","Enum.ShipmentConfirmationTransactionTypes.Sales","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2235","False","12","802add78-82c0-4435-b03c-0091b061d0b6","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7674324a4a2a","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794b","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","","e1cib/data/Document.ShipmentConfirmation?ref=b76cbacb2511e57d11ebeab0dfce2236","802add78-82c0-4435-b03c-0091b061d0b6","","","","Enum.ShipmentConfirmationTransactionTypes.Sales","","Enum.ShipmentConfirmationTransactionTypes.Sales"
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce2239","False","13","c807935a-7b4e-409d-96be-579f407050f7","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb766bf96b276f","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794d","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.ShipmentConfirmation?ref=b76cbacb2511e57d11ebeab0dfce223a","c807935a-7b4e-409d-96be-579f407050f7","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor"
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce223c","False","14","c0a0e62d-7230-46de-83f0-568a3b772a0a","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7674324a4a2c","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794c","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","","e1cib/data/Document.ShipmentConfirmation?ref=b76cbacb2511e57d11ebeab0dfce223d","c0a0e62d-7230-46de-83f0-568a3b772a0a","","","","Enum.ShipmentConfirmationTransactionTypes.Sales","","Enum.ShipmentConfirmationTransactionTypes.Sales"
