"UserOrGroup","MetadataObject","AttributeName","KindOfAttribute","Value"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.BankPayment","Account","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186b"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.BankPayment","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.BankPayment","Currency","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.BankReceipt","Account","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.BankReceipt","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.BankReceipt","Currency","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Bundling","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Bundling","Store","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashExpense","Account","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186a"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashExpense","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashPayment","CashAccount","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186a"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashPayment","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashPayment","Currency","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashReceipt","CashAccount","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186a"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashReceipt","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashReceipt","Currency","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashRevenue","Account","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186a"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashRevenue","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashTransferOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashTransferOrder","Receiver","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.CashTransferOrder","Sender","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186a"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.GoodsReceipt","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.IncomingPaymentOrder","Account","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c1869"
