"Ref","DeletionMark","Settings","ExternalDataProc","TermsOfDiscountCalculation","GroupTypes","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf114c59ef009","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf114c59ef008","False","False","Special Price","","","Special Price"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb24","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","False","Discount Price 1","","","Discount Price 1"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb25","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","False","Discount Price 2","","","Discount Price 2"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb26","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","False","Discount 1 without Vat","","","Discount 1 without Vat"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb27","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","False","Discount 2 TRY without VAT","","","Discount 2 TRY without VAT"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb28","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb1f","False","False","Special Message Notification","","","Special Message Notification"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb2e","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb1f","False","False","Special Message DialogBox","","","Special Message DialogBox"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb2f","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb23","False","False","All items 5+1, Discount on Basic Partner terms","","","All items 5+1 TR, Discount on Basic Partner terms"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb30","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb23","False","False","Dress,2 4+1, Discount on Basic Partner terms","","","Dress,2 4+1 TR, Discount on Basic Partner terms"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb31","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb23","False","False","Dress,2 3+1, Discount on Basic Partner terms","","","Dress,2 3+1 TR, Discount on Basic Partner terms"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb32","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb22","False","False","Range Discount Basic (Dress)","","","Range Discount Basic (Dress)"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb33","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb22","False","False","Range Discount Basic (Trousers)","","","Range Discount Basic (Trousers)"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb36","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","True","Special Offers","","","Special Offers"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb38","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","True","Maximum","","","Maximum"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb3a","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","True","Sum","","","Sum"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb3c","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","True","Minimum","","","Minimum"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb4a","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb20","False","False","Document discount","","","Document discount TR"
"e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf1217ba43b41","False","ValueStorage","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb1f","False","False","DialogBox2","","","DialogBox2"
