"Ref","Key","Tax","Analytics","TaxRate","Amount","IncludeToTotalAmount","ManualAmount"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc2","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","152,54","True","152,54"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc2","18d36228-af88-4ba5-a17a-f3ab3ddb6816","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","152,54","True","152,54"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc2","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","45,76","True","45,76"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc1","baf60337-67a7-4627-8518-6881217d1593","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","152,54","True","152,54"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc1","2f854b37-44db-469e-a5cb-6478adca5001","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","152,54","True","152,54"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc1","59a126c2-0ca4-4dad-b39b-606e75973f8e","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","45,76","True","45,76"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","4fcbb4cf-3824-47fb-89b5-50d151315d4d","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","137,29","True","137,29"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","923e7825-c20f-4a3e-a983-2b85d80e475a","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","137,29","True","137,29"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","1b90516b-b3ac-4ca5-bb47-44477975f242","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","41,19","True","41,19"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","57f5d81d-4f3d-4f16-adb4-980eefd50141","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","366,1","True","366,1"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","15cffd29-ab7a-4b05-95af-ec94bc148a44","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","137,29","True","137,29"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","9c7fc3e3-bb4b-4066-8e7a-b1fc3aaed20f","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","137,29","True","137,29"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","a4fdb70f-77d4-49b7-9f2b-693cb1996b18","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","41,19","True","41,19"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc6","69ad4361-f54f-4519-9c48-8244181b3c14","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","152,54","True","152,54"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc6","9210da9e-5caf-4a2f-8b33-d6dc77fb6fcc","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","91,53","True","91,53"
