"Period","Amount","Amount with taxes","Dimensions","","","","","",""
"28.01.2021 18:49:39","13,78","16,26","Main Company","Distribution department","Revenue","Interner","USD","","Reporting currency"
"28.01.2021 18:49:39","80,51","95","Main Company","Distribution department","Revenue","Interner","TRY","","Local currency"
"28.01.2021 18:49:39","80,51","95","Main Company","Distribution department","Revenue","Interner","TRY","","TRY"
"28.01.2021 18:49:39","80,51","95","Main Company","Distribution department","Revenue","Interner","TRY","","en description is empty"
"28.01.2021 18:49:39","358,36","422,86","Main Company","Distribution department","Revenue","XS/Blue","USD","","Reporting currency"
"28.01.2021 18:49:39","482,41","569,24","Main Company","Distribution department","Revenue","36/Red","USD","","Reporting currency"
"28.01.2021 18:49:39","2 093,2","2 470","Main Company","Distribution department","Revenue","XS/Blue","TRY","","Local currency"
"28.01.2021 18:49:39","2 093,2","2 470","Main Company","Distribution department","Revenue","XS/Blue","TRY","","TRY"
"28.01.2021 18:49:39","2 093,2","2 470","Main Company","Distribution department","Revenue","XS/Blue","TRY","","en description is empty"
"28.01.2021 18:49:39","2 817,8","3 325","Main Company","Distribution department","Revenue","36/Red","TRY","","Local currency"
"28.01.2021 18:49:39","2 817,8","3 325","Main Company","Distribution department","Revenue","36/Red","TRY","","TRY"
"28.01.2021 18:49:39","2 817,8","3 325","Main Company","Distribution department","Revenue","36/Red","TRY","","en description is empty"
