"Purchase order 115 dated 12.02.2021 12:44:43","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","",""
"Register  ""R1010 Purchase orders""","","","","","","","","","","","",""
"","Period","Resources","","","Dimensions","","","","","","","Attributes"
"","","Quantity","Amount","Net amount","Company","Branch","Multi currency movement type","Currency","Order","Item key","Row key","Deferred calculation"
"","12.02.2021 12:44:43","2","51,36","43,53","Main Company","Front office","Reporting currency","USD","Purchase order 115 dated 12.02.2021 12:44:43","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 12:44:43","2","300","254,24","Main Company","Front office","Local currency","TRY","Purchase order 115 dated 12.02.2021 12:44:43","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 12:44:43","2","300","254,24","Main Company","Front office","TRY","TRY","Purchase order 115 dated 12.02.2021 12:44:43","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 12:44:43","2","300","254,24","Main Company","Front office","en description is empty","TRY","Purchase order 115 dated 12.02.2021 12:44:43","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 12:44:43","5","171,2","145,09","Main Company","Front office","Reporting currency","USD","Purchase order 115 dated 12.02.2021 12:44:43","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 12:44:43","5","1 000","847,46","Main Company","Front office","Local currency","TRY","Purchase order 115 dated 12.02.2021 12:44:43","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 12:44:43","5","1 000","847,46","Main Company","Front office","TRY","TRY","Purchase order 115 dated 12.02.2021 12:44:43","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 12:44:43","5","1 000","847,46","Main Company","Front office","en description is empty","TRY","Purchase order 115 dated 12.02.2021 12:44:43","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 12:44:43","10","171,2","145,09","Main Company","Front office","Reporting currency","USD","Purchase order 115 dated 12.02.2021 12:44:43","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
"","12.02.2021 12:44:43","10","1 000","847,46","Main Company","Front office","Local currency","TRY","Purchase order 115 dated 12.02.2021 12:44:43","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
"","12.02.2021 12:44:43","10","1 000","847,46","Main Company","Front office","TRY","TRY","Purchase order 115 dated 12.02.2021 12:44:43","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
"","12.02.2021 12:44:43","10","1 000","847,46","Main Company","Front office","en description is empty","TRY","Purchase order 115 dated 12.02.2021 12:44:43","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
