"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a55","5b1aa00e-9a86-419a-bd33-7873ba4b1085","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","42,95"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a55","5b1aa00e-9a86-419a-bd33-7873ba4b1085","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","50"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a55","5b1aa00e-9a86-419a-bd33-7873ba4b1085","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a55","c0d55fea-9d59-42ad-9f4e-5e969cfb8c16","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","45"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a55","c0d55fea-9d59-42ad-9f4e-5e969cfb8c16","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","49,5"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a55","c0d55fea-9d59-42ad-9f4e-5e969cfb8c16","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a58","50ef9e74-2e54-43af-ac5d-20fad7ad4e6f","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","128,85"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a58","50ef9e74-2e54-43af-ac5d-20fad7ad4e6f","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","150"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a58","50ef9e74-2e54-43af-ac5d-20fad7ad4e6f","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a58","a8ddd829-0539-43f9-bacb-f1d755c31c03","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","128,85"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a58","a8ddd829-0539-43f9-bacb-f1d755c31c03","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","150"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb7674324a4a58","a8ddd829-0539-43f9-bacb-f1d755c31c03","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
