"Ref","Role","Configuration"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2776","BasicRole","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2776","FullAccessOnlyRead","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","BasicRole","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","CreateOrModifyUsers","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","FullAccess","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","RunThinClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","RunWebClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","SaveUserData","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","UseExternalReports","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=b762b13668d0905011eb766bf96b2779","UseOutput","IRP"
