"Ref","Key","ItemKey","Store","Unit","Quantity","ReceiptBasis","SalesOrder","QuantityInBaseUnit","PurchaseInvoice","PurchaseOrder","InternalSupplyRequest","InventoryTransferOrder","SalesReturn","SalesReturnOrder","InventoryTransfer","SalesInvoice"
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cbd","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d188","","10","","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d188","","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cbd","18d36228-af88-4ba5-a17a-f3ab3ddb6816","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d188","","5","","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d188","","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cbe","baf60337-67a7-4627-8518-6881217d1593","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d189","","10","","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d189","","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cbe","2f854b37-44db-469e-a5cb-6478adca5001","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d189","","5","","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d189","","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cc0","4fcbb4cf-3824-47fb-89b5-50d151315d4d","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","","10","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d18a","e1cib/data/Document.InternalSupplyRequest?ref=b76197e183b782dc11eb6d1c98c25013","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cc0","923e7825-c20f-4a3e-a983-2b85d80e475a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","","5","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","e1cib/data/Document.PurchaseOrder?ref=b76197e183b782dc11eb6d1e8ae3d18a","e1cib/data/Document.InternalSupplyRequest?ref=b76197e183b782dc11eb6d1c98c25013","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cc4","15cffd29-ab7a-4b05-95af-ec94bc148a44","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","","10","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","","","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cc4","9c7fc3e3-bb4b-4066-8e7a-b1fc3aaed20f","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","","5","e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","","","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cc5","15cffd29-ab7a-4b05-95af-ec94bc148a44","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","","","10","","","","","","","",""
"e1cib/data/Document.GoodsReceipt?ref=b76197e183b782dc11eb6d33b1126cc5","9c7fc3e3-bb4b-4066-8e7a-b1fc3aaed20f","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","","","5","","","","","","","",""
