"Purchase invoice 117 dated 12.02.2021 15:12:15","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","",""
"Register  ""R1005 Special offers of purchases""","","","","","","","","","","",""
"","Period","Resources","Dimensions","","","","","","","","Attributes"
"","","Offers amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key","Special offer","Deferred calculation"
"","12.02.2021 15:12:15","5,14","Main Company","Front office","Reporting currency","USD","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","12.02.2021 15:12:15","17,12","Main Company","Front office","Reporting currency","USD","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
"","12.02.2021 15:12:15","17,12","Main Company","Front office","Reporting currency","USD","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
"","12.02.2021 15:12:15","30","Main Company","Front office","Local currency","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","12.02.2021 15:12:15","30","Main Company","Front office","TRY","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","12.02.2021 15:12:15","30","Main Company","Front office","en description is empty","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","DocumentDiscount","No"
"","12.02.2021 15:12:15","100","Main Company","Front office","Local currency","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
"","12.02.2021 15:12:15","100","Main Company","Front office","Local currency","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
"","12.02.2021 15:12:15","100","Main Company","Front office","TRY","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
"","12.02.2021 15:12:15","100","Main Company","Front office","TRY","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
"","12.02.2021 15:12:15","100","Main Company","Front office","en description is empty","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","DocumentDiscount","No"
"","12.02.2021 15:12:15","100","Main Company","Front office","en description is empty","TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","DocumentDiscount","No"
