"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c61","422428c8-cf2c-4925-acfa-d3a4544b8ed0","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 500"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c61","422428c8-cf2c-4925-acfa-d3a4544b8ed0","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","256,8"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c61","21d7adb9-5260-4620-97c9-860645c7148a","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","400"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c61","21d7adb9-5260-4620-97c9-860645c7148a","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","68,48"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c61","9d9e99b5-77d7-44ab-bbed-a5318311d963","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 000"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c61","9d9e99b5-77d7-44ab-bbed-a5318311d963","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","171,2"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c63","2cf54049-8607-40a2-b7a1-32d51d342f97","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 000"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c63","2cf54049-8607-40a2-b7a1-32d51d342f97","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","171,2"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c62","2cf54049-8607-40a2-b7a1-32d51d342f97","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9","0,1111","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","4 500"
"e1cib/data/Document.BankPayment?ref=b76bafe8d8921be311ebc47439fb9c62","2cf54049-8607-40a2-b7a1-32d51d342f97","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","550"
