"Ref","Key","ItemKey","Store","Unit","Quantity","PurchaseBasis","Price","TaxAmount","TotalAmount","NetAmount","OffersAmount","PriceType","ProfitLossCenter","ExpenseType","DeliveryDate","Detail","DontCalculateRow","QuantityInBaseUnit","Cancel","CancelReason","SalesOrder","InternalSupplyRequest","PartnerItem"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","a6a2f994-5e03-4485-a1c6-b29cc116795a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","","100","15.25","100","84.75","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","1","False","","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","ad7e4f0f-b32a-4d00-bbba-4628f00fb14e","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","","110","83.9","550","466.1","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","5","True","e1cib/data/Catalog.CancelReturnReasons?ref=b76197e183b782dc11eb60d037e266d0","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","b68314e4-1ca0-4d45-ade7-621a46d7f72a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","","110","167.8","1100","932.2","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","10","False","","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","ce7276e5-98a6-42ac-9a49-7988dd986215","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","2","","110","402.71","2640","2237.29","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","24","False","","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","39bbbdd3-8292-431d-a403-92cc2d0d37a9","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","","110","16.78","110","93.22","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","1","False","","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","a3b792fe-2714-45af-9b52-4d70e833a20c","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","","100","15.25","100","84.75","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","1","False","","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","b5659adb-03dd-4cab-939e-cdb114d5a276","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","","110","83.9","550","466.1","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","5","True","e1cib/data/Catalog.CancelReturnReasons?ref=b76197e183b782dc11eb60d037e266d0","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","8ec163ec-7832-48b1-8621-67774a216239","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","11","","110","184.58","1210","1025.42","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","11","False","","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","dcefa40d-3c97-4a26-b243-64d637f204c3","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","3","","110","604.07","3960","3355.93","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","36","False","","","",""
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","6a6c1b3d-6070-4487-a2c2-bac14a890223","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","","110","16.78","110","93.22","","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","","","01.01.0001 00:00:00","","False","1","False","","","",""
