"Price","Recorder","Price type","Item key"
"550,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","S/Yellow"
"520,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","XS/Blue"
"520,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","M/White"
"550,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","L/Green"
"550,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","XL/Green"
"400,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","36/Yellow"
"400,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","38/Yellow"
"350,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","36/Red"
"350,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","38/Black"
"700,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","36/18SD"
"700,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","37/18SD"
"650,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","38/18SD"
"650,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","39/18SD"
"500,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","39/19SD"
"540,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","37/19SD"
"3 000,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","Dress/A-8"
"5 000,00","Price list 1 dated 01.11.2018 12:32:21","Basic Price Types","Boots/S-8"
