"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Internal","_9500AccessRights","950042 check role Full access only read (Sales order)","0","0","1","0","0"
"Internal","_9500AccessRights","950003 check role Full access only read (Currencies)","0","0","1","0","0"
"Internal","_9500AccessRights","950303 check adding user in the access group with several profiles (role combination)","0","0","1","0","0"
"Internal","_9500AccessRights","950030 check role Full access only read (Definable UI commands)","0","0","1","0","0"
"Internal","_9500AccessRights","950480 check access to the Lock data modification for user with role Full access only read","0","0","1","0","0"
"Internal","_9500AccessRights","950417 create rules for catalog (IN HIERARCHY)","0","0","1","0","0"
"Internal","_9500AccessRights","950416 create rules for catalog (<>)","0","0","1","0","0"
"Internal","_9500AccessRights","950017 check role Full access only read (User access group)","0","0","1","0","0"
"Internal","_9500AccessRights","950425 check that Disable rule does not work","0","0","1","0","0"
"Internal","_9500AccessRights","950009 check role Full access only read (Partner terms)","0","0","1","0","0"
"Internal","_9500AccessRights","950028 check role Full access only read (Equipment drivers)","0","0","1","0","0"
"Internal","_9500AccessRights","950077 check role Full access only read (Cash statement statuses)","0","0","1","0","0"
"Internal","_9500AccessRights","950078 check role Full access only read (Bank terms)","0","0","1","0","0"
"Internal","_9500AccessRights","950000 preparation (role Full access only read)","0","0","1","0","0"
"Internal","_9500AccessRights","950053 check role Full access only read (Cash expense)","0","0","1","0","0"
"Internal","_9500AccessRights","950400 preparation","0","0","1","0","0"
"Internal","_9500AccessRights","950048 check role Full access only read (Retail return receipts)","0","0","1","0","0"
"Internal","_9500AccessRights","950016 check role Full access only read (Users)","0","0","1","0","0"
"Internal","_9500AccessRights","950023 check role Full access only read (Contact info sets)","0","0","1","0","0"
"Internal","_9500AccessRights","950025 check role Full access only read (Plugins)","0","0","1","0","0"
"Internal","_9500AccessRights","950063 check role Full access only read (Internal supply request)","0","0","1","0","0"
"Internal","_9500AccessRights","950013 check role Full access only read (Items and item key)","0","0","1","0","0"
"Internal","_9500AccessRights","950075 check role Full access only read (Opening entry)","0","0","1","0","0"
"Internal","_9500AccessRights","950056 check role Full access only read (Cash revenue)","0","0","1","0","0"
"Internal","_9500AccessRights","950403 check function option UseLockDataModification","0","0","1","0","0"
"Internal","_9500AccessRights","950411 create rules for catalog (<)","0","0","1","0","0"
"Internal","_9500AccessRights","950046 check role Full access only read (Purchase order)","0","0","1","0","0"
"Internal","_9500AccessRights","950076 check role Full access only read (Retail customers)","0","0","1","0","0"
