"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 07 15:36:31 EEST 2021","Thu Oct 07 15:36:34 EEST 2021","2428","","","","","","950042 check role Full access only read (Sales order)",""
"passed","Thu Oct 07 15:34:34 EEST 2021","Thu Oct 07 15:34:36 EEST 2021","2443","","","","","","950003 check role Full access only read (Currencies)",""
"passed","Thu Oct 07 15:40:23 EEST 2021","Thu Oct 07 15:40:37 EEST 2021","14039","","","","","","950303 check adding user in the access group with several profiles (role combination)",""
"passed","Thu Oct 07 15:36:12 EEST 2021","Thu Oct 07 15:36:14 EEST 2021","1426","","","","","","950030 check role Full access only read (Definable UI commands)",""
"passed","Thu Oct 07 15:52:23 EEST 2021","Thu Oct 07 15:52:42 EEST 2021","19685","","","","","","950480 check access to the Lock data modification for user with role Full access only read",""
"passed","Thu Oct 07 15:50:13 EEST 2021","Thu Oct 07 15:50:49 EEST 2021","35539","","","","","","950417 create rules for catalog (IN HIERARCHY)",""
"passed","Thu Oct 07 15:49:39 EEST 2021","Thu Oct 07 15:50:13 EEST 2021","34332","","","","","","950416 create rules for catalog (<>)",""
"passed","Thu Oct 07 15:35:45 EEST 2021","Thu Oct 07 15:35:47 EEST 2021","2043","","","","","","950017 check role Full access only read (User access group)",""
"passed","Thu Oct 07 15:51:49 EEST 2021","Thu Oct 07 15:52:04 EEST 2021","14823","","","","","","950425 check that Disable rule does not work",""
"passed","Thu Oct 07 15:34:53 EEST 2021","Thu Oct 07 15:34:57 EEST 2021","3829","","","","","","950009 check role Full access only read (Partner terms)",""
"passed","Thu Oct 07 15:36:10 EEST 2021","Thu Oct 07 15:36:11 EEST 2021","1417","","","","","","950028 check role Full access only read (Equipment drivers)",""
"passed","Thu Oct 07 15:37:53 EEST 2021","Thu Oct 07 15:37:55 EEST 2021","1820","","","","","","950077 check role Full access only read (Cash statement statuses)",""
"passed","Thu Oct 07 15:37:55 EEST 2021","Thu Oct 07 15:37:57 EEST 2021","2033","","","","","","950078 check role Full access only read (Bank terms)",""
"passed","Thu Oct 07 15:32:04 EEST 2021","Thu Oct 07 15:34:25 EEST 2021","141413","","","","","","950000 preparation (role Full access only read)",""
"passed","Thu Oct 07 15:37:00 EEST 2021","Thu Oct 07 15:37:03 EEST 2021","3068","","","","","","950053 check role Full access only read (Cash expense)",""
"passed","Thu Oct 07 15:40:56 EEST 2021","Thu Oct 07 15:42:19 EEST 2021","82755","","","","","","950400 preparation",""
"passed","Thu Oct 07 15:36:48 EEST 2021","Thu Oct 07 15:36:51 EEST 2021","2856","","","","","","950048 check role Full access only read (Retail return receipts)",""
"passed","Thu Oct 07 15:35:43 EEST 2021","Thu Oct 07 15:35:45 EEST 2021","2440","","","","","","950016 check role Full access only read (Users)",""
